codi;sigles;assignatura
230001;CAL;CÀLCUL
230005;FO;FONAMENTS DELS ORDINADORS
230007;EM;ELECTROMAGNETISME
230009;ENTIC;INTRODUCCIÓ A L'ENGINYERIA TIC
230013;RP;RADIACIÓ I PROPAGACIÓ
230014;FISE;FUNCIONS I SISTEMES ELECTRÒNICS
230015;IXT;INTRODUCCIÓ A LES XARXES TELEMÀTIQUES
230016;PBE;PROJECTE BÀSIC D'ENGINYERIA
230018;ICOM;INTRODUCCIÓ A LES COMUNICACIONS
230019;DGD;DISSENY DIGITAL
230020;AST;APLICACIONS I SERVEIS TELEMÀTICS
230021;EIM;ECONOMIA I MANAGEMENT
230022;PAV;PROCESSAMENT D'ÀUDIO I VEU
230023;AE;ACÚSTICA I ELECTROACÚSTICA
230024;PIV;PROCESSAMENT D'IMATGE I VÍDEO
230025;CM;COMUNICACIONS MULTIMÈDIA
230026;TPA;TECNOLOGIA I PRODUCCIÓ AUDIOVISUAL
230027;CCAV;CODIFICACIÓ DE CONTINGUTS AUDIOVISUALS
230041;IX;INFRAESTRUCTURES DE XARXA
230047;DAT;DISSENY D'APLICACIONS TELEMÀTIQUES
230051;CDA SISTEL;COMUNICACIONS DIGITALS AVANÇADES
230052;MICROS;MICROONES
230053;ANTENES;ANTENES
230054;RCOMSISTEL;RADIOCOMUNICACIONS
230055;COMOPT;COMUNICACIONS ÒPTIQUES
230066;AAX;ANÀLISI I AVALUACIÓ DE XARXES
230075;TCGI;TRANSPORT, CONTROL I GESTIÓ A INTERNET
230080;AL;ÀLGEBRA LINEAL
230081;FDF;FONAMENTS DE FÍSICA
230082;FDE;FONAMENTS D'ELECTRÒNICA
230083;CAVEC;CÀLCUL VECTORIAL
230084;CSL;CIRCUITS I SISTEMES LINEALS
230085;MATEL;MATEMÀTIQUES DE LA TELECOMUNICACIÓ
230086;POO;PROGRAMACIÓ ORIENTADA A OBJECTES
230087;PIE;PROBABILITAT I ESTADÍSTICA
230088;SSIS;SENYALS I SISTEMES
230089;IPAV;INTRODUCCIÓ AL PROCESSAMENT AUDIOVISUAL
230090;ONELE;ONES ELECTROMAGNÈTIQUES
230091;DSBM;DISSENY DE SISTEMES BASATS EN MICROPROCESSADORS
230092;PSAVC;PROCESSAMENT DEL SENYAL AUDIOVISUAL I DE COMUNICACIONS
230093;TD;TRANSMISSIÓ DE DADES
230105;SAM;SENSORS, ACTUADORS I MICROCONTROLADORS EN ROBOTS MÒBILS
2301115;3DLICO;3D LIGHT CONTROL FOR BIOLOGICAL APPLICATIONS
2301123;COLIM;COLOR AND SPECTRAL IMAGING
230115;EI;ELECTRÒNICA INTEL·LIGENT
2301200;MD;MICROELECTRONIC DESIGN
2301201;MITP;MICROELECTRONIC TECHNOLOGIES AND PROCESSES
2301202;SFDM;SEMICONDUCTOR AND DEVICE MANUFACTURING FACILITIES
2301203;PCR;PACKAGING, CHARACTERISATION AND RELIABILITY
2301204;SD;SEMICONDUCTOR DEVICES
2301205;SOC;SOC DESIGN AND VERIFICATION
2301206;ICPD;PHYSICAL DESIGN OF INTEGRATED CIRCUITS
2301207;AICD;ANALOGUE IC DESIGN
230157;SPI;SEGURETAT I PRIVADESA DE LA INFORMACIÓ
230160;SAD;SOFTWARE PER A APLICACIONS DISTRIBUÏDES
230161;SSCMOB;SISTEMES DE SUPORT A LES COMUNICACIONS MÒBILS
230162;PAEST;PROJECTE AVANÇAT D'ENGINYERIA DE SISTEMES TELEMÀTICS
230200;PAM;PROGRAMACIÓ D'APLICACIONS MULTIMÈDIA
230206;MAE;MATLAB I LES SEVES APLICACIONS EN ENGINYERIA
230210;PAESAV;PROJECTE AVANÇAT D'ENGINYERIA DE SISTEMES AUDIOVISUALS
230251;RAD;RADAR
230252;TELED;SISTEMES D'OBSERVACIÓ DE LA TERRA I TELEDETECCIÓ
230260;PAESTLC;PROJECTE AVANÇAT D'ENGINYERIA DE SISTEMES DE TELECOMUNICACIÓ
230261;SON;XARXES ÒPTIQUES INTEL·LIGENTS
230300;COMSECRET;ÀLGEBRA LINEAL, CODIS LINEALS I ESQUEMES DE COMPARTICIÓ DE SECRETS
230301;PSPICE;SIMULACIÓ I ANÀLISI DE CIRCUITS MITJANÇANT PSPICE
230306;K3D;3D AMB KINECT, SEMINARI PRÀCTIC
230311;CTFUTUR;CREAR EL TEU FUTUR: UN SIMPLE TREBALL O LA TEVA AUTÈNTICA PASSIÓ
230312;ADMINUX;ADMINISTRACIÓ DE SISTEMES LINUX
230337;AIPRAC;RESOLUCIÓ DE PROBLEMES AMB INTEL·LIGÈNCIA ARTIFICIAL: UN ENFOCAMENT PRÀCTIC
230339;IMATEC;INTRODUCCIÓ A LES MATEMÀTIQUES I A L'ENGINYERIA DE LES TELECOMUNICACIONS
230340;EE;ÈTICA PER A L'ENGINYERIA
230359;TELECS;TELECOMMUNICATIONS AND ELECTRONICS SEMINAR
230365;PCBD;PRINTED CIRCUIT BOARD DESIGN
230372;SATT;ADVANCED TELECOMMUNICATION TECHNOLOGIES SEMINAR
230381;QCC;QUANTUM COMMUNICATION AND COMPUTATION
230383;ACEND;ALTERNATIVE COMPUTING STRATEGIES WITH EMERGING NANOELECTRONIC DEVICES
230386;6G-FTMC;THE WAY TO 6G: FUTURE TRENDS IN MOBILE COMMUNICATIONS
230387;LABUE;ULTRASOUND ELECTRONICS LABORATORY
230388;LHPT;LEADING HIGH-PERFORMING TEAMS
230389;WES;WIND ENERGY: FUNDAMENTALS, OFFSHORE APPLICATIONS AND SENSING SYSTEMS
230450;CAL1;CÀLCUL I
230451;ALG;ÀLGEBRA LINEAL I GEOMETRIA
230452;FIS1;FÍSICA I
230453;QI;QUÍMICA INORGÀNICA
230454;MNC1;MÈTODES NUMÈRICS I COMPUTACIONALS I
230460;PE;PROBABILITAT I ESTADÍSTICA
230461;MM2;MÈTODES MATEMÀTICS II
230462;TERMO;TERMODINÀMICA
230463;FISQ;FÍSICA QUÀNTICA
230466;PEF1;PROJECTES D'ENGINYERIA FÍSICA I
230467;MEC;MECÀNICA
230469;ES;ESTAT SÒLID
230470;ONEMAG;ONES ELECTROMAGNÈTIQUES
230474;TS;TEORIA DEL SENYAL
230479;BIOF2;BIOFÍSICA II
230482;BIOPHOT;FOTÒNICA BIOMÈDICA
230483;QOT;TECNOLOGIES D'ÒPTICA QUÀNTICA
230484;NTECH;NANOTECNOLOGIA
230485;ADMAT;MATERIALS AVANÇATS
230486;SIMCON;SIMULACIÓ COMPUTACIONAL DE LA MATÈRIA CONDENSADA
230487;PHYSFLU;FÍSICA DE FLUIDS
230488;ASTRO;ASTROFÍSICA I COSMOLOGIA
230489;RELG;RELATIVITAT GENERAL
230490;CPIA;PROGRAMACIÓ INFORMÀTICA I LES SEVES APLICACIONS
230550;INTRO;INTRODUCTION TO PHOTONICS: OPTICS AND LASERS
230551;LAB;PHOTONICS LABORATORY
